c Fleet composition for link of PHEMLight with NITRA �,,
c,,
c fleet segment,vehicle segment,share
BUS,HDV_CO_D_EU0,0
BUS,HDV_CB_D_EU0,0
BUS,HDV_CB_D_EU1,0
BUS,HDV_CO_D_EU1,0
BUS,HDV_CB_D_EU2,0.042553191
BUS,HDV_CO_D_EU2,0.013539652
BUS,HDV_CB_D_EU4,0.232108317
BUS,HDV_CO_D_EU4,0.160541586
BUS,HDV_CB_D_EU5,0.017408124
BUS,HDV_CO_D_EU5,0.117988395
BUS,HDV_CB_D_EU3,0.20696325
BUS,HDV_CO_D_EU3,0.137330754
BUS,HDV_CB_D_EU6,0.00967118
BUS,HDV_CO_D_EU6,0.030947776
BUS,HDV_CB_CNG_EU6,0.030947776
HDV,HDV_TT_D_EU0,0.000487
HDV,HDV_RT_I_D_EU0,0.007785888
HDV,HDV_RT_II_D_EU0,0.000487
HDV,HDV_RT_I_D_EU1,0.009975669
HDV,HDV_TT_D_EU1,0.001703163
HDV,HDV_RT_II_D_EU1,0.001946472
HDV,HDV_TT_D_EU2,0.022384428
HDV,HDV_RT_I_D_EU2,0.058880779
HDV,HDV_RT_II_D_EU2,0.004379562
HDV,HDV_TT_D_EU3,0.055717762
HDV,HDV_RT_I_D_EU3,0.218734793
HDV,HDV_RT_II_D_EU3,0.013625304
HDV,HDV_TT_D_EU4,0.029927007
HDV,HDV_RT_I_D_EU4,0.346958637
HDV,HDV_RT_II_D_EU4,0.006569343
HDV,HDV_TT_D_EU5,0.024574209
HDV,HDV_RT_I_D_EU5,0.147445255
HDV,HDV_RT_II_D_EU5,0.004136253
HDV,HDV_TT_D_EU6,0.018248175
HDV,HDV_RT_I_D_EU6,0.023600973
HDV,HDV_RT_II_D_EU6,0.00243309
PC,LCV_II_D_EU0,0
PC,LCV_III_D_EU0,0
PC,LCV_II_D_EU1,0
PC,LCV_III_D_EU1,0
PC,LCV_II_D_EU2,0
PC,LCV_III_D_EU2,0
PC,LCV_II_D_EU3,0
PC,LCV_III_D_EU3,0
PC,LCV_II_D_EU4,0
PC,LCV_III_D_EU4,0
PC,LCV_II_D_EU5,0
PC,LCV_III_D_EU5,0
PC,LCV_II_D_EU6,0
PC,LCV_II_D_EU6c,0
PC,LCV_III_D_EU6,0
PC,LCV_III_D_EU6c,0
PC,LCV_I_D_EU0,0
PC,PC_D_EU0,0
PC,LCV_I_D_EU1,0
PC,PC_D_EU1,0
PC,LCV_I_D_EU2,0
PC,PC_D_EU2,0
PC,LCV_I_D_EU3,0
PC,PC_D_EU3,0
PC,LCV_I_D_EU4,0
PC,PC_D_EU4,0
PC,LCV_I_D_EU5,0
PC,PC_D_EU5,1
PC,LCV_I_D_EU6,0
PC,LCV_I_D_EU6c,0
PC,PC_D_EU6,0
PC,PC_D_EU6d,0
PC,HDV_CB_BEV,0
PC,LCV_I_BEV,0
PC,LCV_II_BEV,0
PC,LCV_III_BEV,0
PC,PC_BEV,0
PC,LCV_II_G_EU0,0
PC,LCV_III_G_EU0,0
PC,LCV_II_G_EU1,0
PC,LCV_III_G_EU1,0
PC,LCV_II_G_EU2,0
PC,LCV_III_G_EU2,0
PC,LCV_II_G_EU3,0
PC,LCV_III_G_EU3,0
PC,LCV_II_G_EU4,0
PC,LCV_III_G_EU4,0
PC,LCV_II_G_EU5,0
PC,LCV_III_G_EU5,0
PC,LCV_II_G_EU6,0
PC,LCV_II_G_EU6c,0
PC,LCV_III_G_EU6,0
PC,LCV_III_G_EU6c,0
PC,PC_G_EU0,0
PC,PC_G_EU1,0
PC,LCV_I_G_EU1,0
PC,LCV_I_G_EU2,0
PC,PC_G_EU2,0
PC,LCV_I_G_EU3,0
PC,PC_G_EU3,0
PC,LCV_I_G_EU4,0
PC,PC_G_EU4,0
PC,LCV_I_G_EU5,0
PC,PC_G_EU5,0
PC,LCV_I_G_EU6,0
PC,LCV_I_G_EU6c,0
PC,PC_G_EU6,0
PC,PC_G_EU6c,0
PC,LCV_I_G_EU0,0
BUS,HDV_CB_D_HEV_EU6,0
PC,LCV_I_D_HEV_EU6,0
PC,LCV_I_D_HEV_EU6c,0
PC,LCV_I_G_HEV_EU6,0
PC,LCV_I_G_HEV_EU6c,0
PC,LCV_II_D_HEV_EU6,0
PC,LCV_II_D_HEV_EU6c,0
PC,LCV_II_G_HEV_EU6,0
PC,LCV_II_G_HEV_EU6c,0
PC,LCV_III_D_HEV_EU6,0
PC,LCV_III_D_HEV_EU6c,0
PC,LCV_III_G_HEV_EU6,0
PC,LCV_III_G_HEV_EU6c,0
PC,PC_D_HEV_EU6,0
PC,PC_D_HEV_EU6d,0
PC,PC_G_HEV_EU6,0
PC,PC_G_HEV_EU6c,0
PC,PC_CNG_EU5,0
PC,LCV_I_CNG_EU6,0
PC,LCV_II_CNG_EU6,0
PC,LCV_II_CNG_EU6c,0
PC,LCV_III_CNG_EU6,0
PC,LCV_III_CNG_EU6c,0
PC,PC_CNG_EU6,0
PC,PC_CNG_EU6c,0
