cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.5131,Extrapolation: Pe: -0.2,,,,,
idle,0.007487597,0.002166674,0.002870365,0.000327461,6031388000,0.004756035
-0.2,0,0,0,0,0,0
-0.1,5.70211E-06,0.000138405,5.78655E-07,6.39733E-11,195970.8,3.61929E-06
0,0.007818324,0.001760882,0.003897214,0.000218431,3992084000,0.004964702
0.1,0.044716056,0.006052195,0.028829682,0.000675246,10324660000,0.028382936
0.2,0.068942371,0.006955647,0.049384552,0.00073914,9627780000,0.043766244
0.3,0.082683003,0.006845595,0.060529037,0.000871309,10979870000,0.052505934
0.4,0.10604657,0.007328052,0.049909872,0.000926993,11086330000,0.067340428
0.5,0.11749199,0.008401437,0.028139498,0.001088618,12297970000,0.074612986
0.6,0.116252091,0.01023422,0.018900844,0.001225471,13964790000,0.073841912
0.7,0.120765544,0.01109478,0.020429052,0.001298588,15640870000,0.076700442
0.8000001,0.132508947,0.01143227,0.018365821,0.001407004,14672900000,0.084153871
0.9000001,0.128466921,0.01046779,0.026445629,0.001458334,19367980000,0.081587966
1,0.118870164,0.01032071,0.033521763,0.001481104,21698240000,0.075492256
