cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.2538,Extrapolation: Pe: -0.2,,,,,
idle,0.235608275,0.001461529,0.08471037,0.001013199,1.44305E+12,0.21332435
-0.2,0,0,0,0,0,0
-0.1,0.000225565,0.00074547,0.00051609,0.000680183,1.73437E+12,0.0002025
0,0.174879175,0.001560654,0.068484128,0.001229504,2.20644E+12,0.158007775
0.1,0.7445932,0.004691791,0.2434668,0.005732857,7.85436E+12,0.6713529
0.2,1.21656325,0.005908206,0.478559075,0.011260948,1.02061E+13,1.094124225
0.3,1.67092425,0.006841208,0.6664774,0.014716675,1.21782E+13,1.50239375
0.4,2.2154525,0.009403086,1.324055475,0.020357133,1.44205E+13,1.98809375
0.5,2.675195,0.011959394,1.519326125,0.02495342,1.66071E+13,2.39649125
0.6,3.0367255,0.013627429,1.01844635,0.02253554,1.71419E+13,2.72781175
0.7,3.17538025,0.014597908,0.720862875,0.016871903,1.66116E+13,2.854048
0.8000001,3.78499975,0.016085783,0.636856075,0.01617095,1.76278E+13,3.406281
0.9000001,4.33503375,0.016863888,0.55936325,0.013996728,1.41681E+13,3.92016475
1,4.7280575,0.01653718,0.43954585,0.011171585,8.93839E+12,4.280741
