cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 241.4962,Extrapolation: Pe: -0.2
idle,0.8993987,0.04130394,0.1180149,0.009864345,6.864361E+12,0.8423755
-0.2,0,0,0,0,0,0
-0.1,0.1322565,0.02625417,0.04411788,0.01951795,1.610626E+13,0.1478887
0,0.4508996,0.07232665,0.2900289,0.04066134,2.860764E+13,0.4023195
0.1,0.90333,0.0962107,0.2794938,0.02881543,3.924335E+13,0.829977
0.2,1.152665,0.09543308,0.2901252,0.03913197,5.613557E+13,1.063783
0.3,1.492099,0.1133222,0.3977636,0.05590016,8.005852E+13,1.385905
0.4,1.912345,0.09364957,0.3247354,0.04627959,6.635646E+13,1.780223
0.5,2.294247,0.09376517,0.4044336,0.04680454,6.733529E+13,2.169175
0.6,2.705528,0.1064975,0.4356695,0.05378129,7.543214E+13,2.553366
0.7,3.436921,0.09264429,0.5559124,0.05264242,6.568001E+13,3.259206
0.8000001,3.859292,0.103598,0.5361237,0.05851172,7.151528E+13,3.654767
0.9000001,4.553044,0.1037521,0.6022664,0.06563786,4.360623E+13,4.35242
1,4.740591,0.1123954,0.5813653,0.07394101,3.675853E+13,4.502659
