cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 232.7226,Extrapolation: Pe: -0.2,,,,,
idle,0.218695775,0.001445208,0.083466135,0.000981584,1.40223E+12,0.1976752
-0.2,0,0,0,0,0,0
-0.1,8.06737E-05,0.000747949,0.000225821,0.000664818,1.72713E+12,7.1905E-05
0,0.13050055,0.001746723,0.065777138,0.00139592,2.84123E+12,0.11706328
0.1,0.601249775,0.005342002,0.239592075,0.006229777,8.73107E+12,0.537484825
0.2,0.8650228,0.006918117,0.2892007,0.009506386,1.20602E+13,0.771926925
0.3,1.136287,0.00718684,0.333225175,0.011329823,1.31497E+13,1.01502985
0.4,1.50911425,0.009682475,0.4820515,0.014317703,1.44444E+13,1.35117125
0.5,1.95323525,0.011889881,0.645779375,0.016916585,1.59226E+13,1.74919475
0.6,2.19188825,0.012686789,0.772476825,0.01778863,1.50064E+13,1.955557
0.7,2.47949,0.014565075,0.697705325,0.015858803,1.64415E+13,2.21251975
0.8000001,2.48991175,0.01522829,0.5724991,0.01430507,1.45214E+13,2.22421025
0.9000001,2.682461,0.01592705,0.55350535,0.013585605,1.28677E+13,2.38633725
1,2.6480475,0.015685205,0.4673955,0.011210698,8.73818E+12,2.34980225
