cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 116.3289,Extrapolation: Pe: -0.2; 1
idle,0.3237374,0.02324514,0.05439429,0.004852774,3.470087E+12,0.2979769
-0.2,0,0,0,0,0,0
-0.1,0.1559069,0.02811239,-0.003640126,0.01098906,4.688396E+12,0.1138876
0,0.3960547,0.0444729,0.06173835,0.009478357,6.781326E+12,0.3598565
0.1,1.105401,0.09203955,0.2341871,0.01721641,2.305022E+13,1.066973
0.2,1.7192,0.09459845,0.2773861,0.03029351,3.204015E+13,1.658926
0.3,2.354083,0.1000179,0.3269562,0.04140428,3.844684E+13,2.234943
0.4,3.019125,0.09401033,0.3571528,0.04796382,3.758327E+13,2.861742
0.5,3.572476,0.1033612,0.4575065,0.05599487,4.280952E+13,3.399084
0.6,4.195417,0.1004568,0.6142514,0.0608696,4.555949E+13,3.977351
0.7,4.690825,0.1044524,0.6586381,0.06371251,4.38304E+13,4.453712
0.8000001,5.140261,0.1159197,0.7551991,0.07993624,4.16795E+13,4.970654
0.9000001,5.507848,0.1235664,0.7294114,0.07971101,2.450432E+13,5.328304
1,6.119831,0.137296,0.8104571,0.08856779,2.722702E+13,5.920338
