cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 338.3504,Extrapolation: Pe: -0.2
idle,0.3323356,0.04095081,0.07614026,0.0202147,3.457823E+12,0.2986857
-0.2,0,0,0,0,0,0
-0.1,0.1604306,0.03734317,0.04453782,0.03602023,5.300036E+12,0.1094167
0,0.3883536,0.07772334,0.1331719,0.06683169,5.986403E+12,0.338464
0.1,0.9810256,0.1536211,0.4446393,0.06963982,2.36364E+13,0.9776174
0.2,1.527053,0.1605612,0.5047038,0.07923459,3.305941E+13,1.513717
0.3,2.180832,0.1585503,0.4846132,0.0883892,3.905832E+13,2.13477
0.4,2.899624,0.1489834,0.4802606,0.09617916,3.866059E+13,2.82349
0.5,3.44425,0.1715558,0.6337839,0.1176025,4.373527E+13,3.369456
0.6,3.972633,0.1912878,0.835042,0.1413103,4.90442E+13,3.899332
0.7,4.658482,0.1910781,1.030018,0.1577643,4.516399E+13,4.560428
0.8000001,5.288306,0.1882438,1.480124,0.1802556,4.627592E+13,5.13844
0.9000001,6.099759,0.2022273,1.21839,0.2049618,2.675367E+13,5.777889
1,6.437798,0.2395376,1.053179,0.2278373,2.975151E+13,6.084061
