cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 33.3673,Extrapolation: Pe: -1.5 - -0.75; 3 - 6,,,,,
idle,0.115404405,0.115032904,2.36686548,0.000905936,5.3407E+12,0.108480212
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.712906753,0.85646895,50.340901,0.3856952,8.0001E+13,0.670132264
-0.25,0.530806406,0.696539501,28.2684179,0.180355,4.67192E+13,0.498957854
0,0.814724812,0.710938888,37.8497627,0.2170331,5.66708E+13,0.765841369
0.25,1.6204819,1.037135086,56.875734,0.3191338,1.21559E+14,1.52325324
0.5,2.09300191,1.6236696,84.592198,0.4351844,1.39628E+14,1.96742177
0.75,2.45591076,2.70619474,127.558376,0.5836709,1.64123E+14,2.3085552
1,2.98500292,4.29734218,217.13436,0.769331,2.48634E+14,2.80590244
1.25,3.41673561,5.81283064,269.447428,1.08254,5.04312E+14,3.21173094
1.5,4.0047291,7.67484368,431.175274,1.629826,8.54325E+14,3.7644451
1.75,5.1575462,9.69845406,608.16355,2.76581,1.30513E+15,4.84809292
2,6.37182241,14.6054826,1275.49634,5.699141,1.89852E+15,5.98951431
2.25,5.44155884,19.9534653,1719.1096,6.800799,2.65996E+15,5.11506597
2.5,5.49354629,23.5857161,2148.135,10.93562,2.54806E+15,5.1639343
2.75,6.02719902,26.0253226,2232.22975,7.912435,2.81944E+15,5.66556652
3,6.57512655,28.3912691,2435.15977,8.631747,3.07576E+15,6.18061756
3.25,7.12305408,30.7572029,2638.08979,9.35106,3.33207E+15,6.69566987
3.5,7.67098161,33.1231367,2841.01981,10.07037,3.58838E+15,7.21072091
3.75,8.21890787,35.4890832,3043.94983,10.78969,3.8447E+15,7.72577195
4,8.7668354,37.855017,3246.87985,11.509,4.10101E+15,8.24082426
4.25,9.31476293,40.2209508,3449.80987,12.22831,4.35732E+15,8.7558753
4.5,9.86269046,42.5868973,3652.74036,12.94762,4.61363E+15,9.27092634
4.75,10.41061799,44.9528438,3855.67038,13.66694,4.86995E+15,9.78597865
5,10.95854552,47.3187776,4058.59993,14.38625,5.12626E+15,10.30102969
5.25,11.50647178,49.6847241,4261.52995,15.10556,5.38257E+15,10.81608073
5.5,12.05439804,52.0506579,4464.45997,15.82487,5.63889E+15,11.33113177
5.75,12.60232557,54.4166044,4667.38952,16.54419,5.8952E+15,11.84618281
6,13.1502531,56.7825382,4870.3186,17.2635,6.15151E+15,12.36123258
