cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 35.8431,Extrapolation: Pe: -1.5 - -1; 2.75 - 6
idle,0.7295463,0.002005697,0.001752897,0.01615565,1.380086E+11,0.5106812
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0.4658824,0.002666262,0.002785238,0.01673115,1.645648E+11,0.3261177
-0.5,1.009164,0.003848762,0.004275592,0.03401367,2.920443E+11,0.7064151
-0.25,3.01947,0.007859536,0.006945562,0.08486276,8.163432E+11,2.113629
0,4.707996,0.008598961,0.006827178,0.09229819,1.067583E+12,3.295596
0.25,9.54958,0.01146575,0.009175898,0.1116874,1.841182E+12,6.684709
0.5,12.93113,0.01241695,0.01186564,0.1126823,1.87258E+12,9.051792
0.75,20.15179,0.01444621,0.01461317,0.137715,1.851751E+12,14.10625
1,25.17948,0.01625567,0.01224289,0.1454152,1.892306E+12,17.62563
1.25,32.814,0.01886182,0.01586161,0.1843381,2.833172E+12,22.9698
1.5,39.85343,0.01997294,0.01662316,0.209455,3.448442E+12,27.89741
1.75,45.57356,0.02163267,0.01562793,0.2509402,5.085981E+12,31.90149
2,50.27686,0.02176457,0.01543293,0.2635646,5.766714E+12,35.1938
2.25,57.5735,0.02403683,0.01622056,0.3063242,6.765609E+12,40.30144
2.5,59.71313,0.02535756,0.01723059,0.3284127,6.821624E+12,41.79919
2.75,65.68445,0.02789332,0.01895365,0.3612539,7.503786E+12,45.97911
3,71.65576,0.03042907,0.02067672,0.3940952,8.185948E+12,50.15903
3.25,77.62708,0.03296483,0.02239978,0.4269365,8.86811E+12,54.33895
3.5,83.59839,0.03550059,0.02412284,0.4597777,9.550273E+12,58.51888
3.75,89.5697,0.03803634,0.0258459,0.492619,1.023244E+13,62.6988
4,95.54102,0.0405721,0.02756896,0.5254603,1.09146E+13,66.87872
4.25,101.5123,0.04310786,0.02929202,0.5583016,1.159676E+13,71.05863
4.5,107.4836,0.04564361,0.03101508,0.5911428,1.227892E+13,75.23855
4.75,113.455,0.04817937,0.03273814,0.6239841,1.296109E+13,79.41846
5,119.4263,0.05071513,0.0344612,0.6568254,1.364325E+13,83.59838
5.25,125.3976,0.05325088,0.03618426,0.6896666,1.432541E+13,87.7783
5.5,131.3689,0.05578664,0.03790731,0.7225079,1.500757E+13,91.95821
5.75,137.3402,0.0583224,0.03963037,0.7553492,1.568974E+13,96.13813
6,143.3115,0.06085815,0.04135343,0.7881904,1.63719E+13,100.318
