cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 27.47238,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,3.761144,0.08419045,0.3268786,0.09184625,7.727805E+13,2.444744
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,9.805943,0.08938,0.2627697,0.4742581,4.561831E+15,6.373864
-0.25,9.032697,0.1094337,0.3117277,0.4368201,3.749576E+15,5.871255
0,14.09933,0.2301151,0.4491586,1.0572,4.243244E+15,9.164562
0.25,26.53479,0.5181875,0.7295875,2.350114,5.682502E+15,17.24761
0.5,44.53709,0.6615156,1.33245,3.218762,6.48101E+15,28.94911
0.75,74.72475,0.6541251,1.413404,4.007991,7.179607E+15,48.57107
1,108.8274,0.7898405,0.9536535,5.753511,7.557198E+15,70.73784
1.25,172.1131,1.09576,1.048266,7.364256,7.487173E+15,111.8735
1.5,192.5319,1.153785,1.058708,8.1913,8.22938E+15,125.1458
1.75,203.0943,1.112759,1.115836,8.380599,8.703691E+15,132.0113
2,233.4331,1.072812,1.210962,9.445164,9.259863E+15,151.7315
2.25,260.9171,1.148098,1.349257,10.46772,9.946854E+15,169.5961
2.5,263.4133,1.170121,1.399107,10.64795,1.027363E+16,171.2186
2.75,289.7546,1.287133,1.539018,11.71275,1.1301E+16,188.3405
3,316.0959,1.404145,1.678929,12.77755,1.232836E+16,205.4624
3.25,342.4373,1.521158,1.81884,13.84234,1.335572E+16,222.5843
3.5,368.7786,1.63817,1.95875,14.90714,1.438309E+16,239.7061
3.75,395.12,1.755182,2.098661,15.97193,1.541045E+16,256.828
4,421.4613,1.872194,2.238572,17.03673,1.643782E+16,273.9499
4.25,447.8026,1.989206,2.378482,18.10152,1.746518E+16,291.0717
4.5,474.144,2.106218,2.518393,19.16632,1.849254E+16,308.1936
4.75,500.4853,2.22323,2.658304,20.23112,1.95199E+16,325.3154
5,526.8267,2.340242,2.798214,21.29591,2.054727E+16,342.4373
5.25,553.168,2.457254,2.938125,22.36071,2.157463E+16,359.5591
5.5,579.5093,2.574266,3.078036,23.42551,2.260199E+16,376.681
5.75,605.8506,2.691278,3.217947,24.4903,2.362936E+16,393.8029
6,632.1919,2.80829,3.357857,25.5551,2.465672E+16,410.9247
