cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 27.26986,Extrapolation: Pe: -1.5 - -1.25; 3 - 6
idle,0.5803217,0.009962245,0.03045256,0.02268786,1.520093E+11,0.4062226
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.06274995,0.001719778,0.003038227,0.00363031,2.133333E+10,0.04392496
-0.75,0.3595283,0.01232342,0.04638706,0.0239143,1.715531E+11,0.2516698
-0.5,1.105833,0.02507306,0.09431931,0.06520583,4.435697E+11,0.7740827
-0.25,2.483661,0.03962843,0.1218952,0.1235794,9.168435E+11,1.738563
0,3.667434,0.04234836,0.1179255,0.1280947,1.15214E+12,2.567205
0.25,7.325885,0.05628447,0.1549627,0.1568287,1.993456E+12,5.12812
0.5,9.913153,0.06146216,0.1925063,0.1574065,2.085829E+12,6.939207
0.75,15.0735,0.07018186,0.2461039,0.1929995,2.079089E+12,10.55145
1,18.82302,0.07751833,0.1923138,0.2021215,1.988281E+12,13.17611
1.25,24.02833,0.09148906,0.2599182,0.2467738,2.843057E+12,16.81983
1.5,29.8074,0.09795173,0.2662069,0.2891276,3.549613E+12,20.86518
1.75,34.39476,0.1063841,0.2817117,0.3410225,4.963484E+12,24.07633
2,38.04486,0.1066031,0.2652268,0.352042,6.118692E+12,26.63141
2.25,43.8405,0.1143059,0.2716753,0.4123384,6.790341E+12,30.68835
2.5,46.27443,0.1216487,0.2881192,0.4440465,7.908731E+12,32.3921
2.75,47.85847,0.1272727,0.3028476,0.4622729,7.24939E+12,33.50093
3,52.20924,0.1388429,0.3303792,0.5042977,7.908426E+12,36.54647
3.25,56.56001,0.1504132,0.3579108,0.5463225,8.567461E+12,39.59201
3.5,60.91078,0.1619834,0.3854424,0.5883473,9.226497E+12,42.63755
3.75,65.26155,0.1735536,0.412974,0.630372,9.885532E+12,45.68309
4,69.61232,0.1851239,0.4405056,0.6723968,1.054457E+13,48.72863
4.25,73.96309,0.1966941,0.4680372,0.7144216,1.12036E+13,51.77417
4.5,78.31386,0.2082644,0.4955688,0.7564464,1.186264E+13,54.81971
4.75,82.66463,0.2198346,0.5231004,0.7984712,1.252167E+13,57.86525
5,87.0154,0.2314049,0.550632,0.840496,1.318071E+13,60.91079
5.25,91.36617,0.2429751,0.5781636,0.8825208,1.383974E+13,63.95633
5.5,95.71693,0.2545454,0.6056952,0.9245456,1.449878E+13,67.00187
5.75,100.0677,0.2661156,0.6332269,0.9665704,1.515781E+13,70.04741
6,104.4185,0.2776859,0.6607585,1.008595,1.581685E+13,73.09295
