cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 23.32145,Extrapolation: Pe: -1.5 - -0.75; 3.25 - 6
idle,0.3979684,0.0648877,1.268636,0.004074492,3.78092E+12,0.3740953
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,1.289345,0.08499115,8.080103,0.1585823,3.659761E+13,1.211985
-0.25,1.379875,0.09766497,6.658276,0.09168603,2.600806E+13,1.297082
0,2.547903,0.169271,10.32327,0.1408098,3.051906E+13,2.395029
0.25,2.858871,0.4744777,26.98256,0.1513703,5.468716E+13,2.687339
0.5,5.014083,0.8443324,43.77194,0.2318045,6.980779E+13,4.713236
0.75,7.242552,1.42392,71.12062,0.4146024,1.037379E+14,6.808002
1,9.956537,2.803429,165.5604,0.7602583,1.449123E+14,9.35914
1.25,10.10615,3.9048,270.8386,1.079421,2.914025E+14,9.499782
1.5,9.539882,6.185029,505.9444,1.68345,5.065053E+14,8.967489
1.75,13.66754,7.930181,1080.094,2.000094,7.422485E+14,12.84748
2,16.30153,15.32708,1812.387,4.876672,1.135594E+15,15.32344
2.25,13.04597,20.04799,3172.011,9.747564,1.542668E+15,12.26321
2.5,10.09845,29.65588,5436.785,8.059589,1.975926E+15,9.492543
2.75,11.77733,31.14767,6605.542,14.3736,1.801634E+15,11.07069
3,13.19927,26.3064,5253.431,13.26176,2.09165E+15,12.40731
3.25,14.29921,28.4986,5691.217,14.36691,2.265954E+15,13.44126
3.5,15.39915,30.6908,6129.003,15.47206,2.440258E+15,14.4752
3.75,16.49909,32.883,6566.789,16.5772,2.614563E+15,15.50914
4,17.59903,35.0752,7004.575,17.68235,2.788867E+15,16.54309
4.25,18.69897,37.2674,7442.361,18.78749,2.963171E+15,17.57703
4.5,19.7989,39.4596,7880.147,19.89264,3.137475E+15,18.61097
4.75,20.89884,41.6518,8317.934,20.99779,3.31178E+15,19.64491
5,21.99878,43.844,8755.72,22.10293,3.486084E+15,20.67886
5.25,23.09872,46.0362,9193.506,23.20808,3.660388E+15,21.7128
5.5,24.19866,48.2284,9631.292,24.31323,3.834693E+15,22.74674
5.75,25.2986,50.4206,10069.08,25.41837,4.008997E+15,23.78069
6,26.39854,52.6128,10506.86,26.52352,4.183301E+15,24.81463
