cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 21.7612,Extrapolation: Pe: -1.5 - -0.75; 3.25 - 6
idle,0.06217353,0.06197368,3.445581,0.0006198565,3.650456E+12,0.0584432
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.3422177,0.410443,60.33182,0.2296557,4.919557E+13,0.3216847
-0.25,0.3012552,0.4046059,45.90064,0.1227951,3.177147E+13,0.28318
0,0.443135,0.382241,56.03348,0.1541655,3.985677E+13,0.4165472
0.25,0.8593158,0.5525346,82.73518,0.2185866,8.284512E+13,0.8077566
0.5,1.086745,0.8657514,125.1779,0.2993834,9.367275E+13,1.02154
0.75,1.282324,1.422266,187.6952,0.3956394,1.128487E+14,1.205384
1,1.567608,2.104535,290.2528,0.4871438,1.498701E+14,1.473551
1.25,1.741334,2.825788,346.287,0.6705399,2.782434E+14,1.636854
1.5,2.106738,3.551466,502.0155,0.956714,5.016179E+14,1.980334
1.75,2.606884,4.752928,764.9246,1.620156,8.395704E+14,2.450471
2,3.21092,6.801576,1351.197,2.806405,1.003956E+15,3.018265
2.25,3.153645,8.900574,2171.268,4.639428,1.572339E+15,2.964427
2.5,2.882571,11.93274,2837.241,5.979621,1.81077E+15,2.709617
2.75,3.13633,13.73364,3193.554,5.710409,1.756144E+15,2.94815
3,3.318895,14.04411,3291.993,5.159067,2.031459E+15,3.119761
3.25,3.595469,15.21446,3566.325,5.588989,2.200747E+15,3.379741
3.5,3.872044,16.3848,3840.658,6.018911,2.370036E+15,3.639721
3.75,4.148619,17.55514,4114.991,6.448833,2.539324E+15,3.899702
4,4.425193,18.72548,4389.323,6.878756,2.708612E+15,4.159682
4.25,4.701768,19.89583,4663.656,7.308678,2.877901E+15,4.419662
4.5,4.978343,21.06617,4937.988,7.7386,3.047189E+15,4.679642
4.75,5.254917,22.23652,5212.321,8.168522,3.216477E+15,4.939622
5,5.531492,23.40686,5486.653,8.598444,3.385765E+15,5.199603
5.25,5.808066,24.5772,5760.986,9.028366,3.555054E+15,5.459583
5.5,6.084641,25.74755,6035.318,9.458288,3.724342E+15,5.719563
5.75,6.361216,26.91789,6309.651,9.88821,3.89363E+15,5.979543
6,6.63779,28.08823,6583.983,10.31813,4.062919E+15,6.239523
