cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 21.7612,Extrapolation: Pe: -1.5 - -0.75; 3.25 - 6
idle,0.06217353,0.06197368,3.445581,0.0006198565,1.830243E+12,0.0584432
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.3422177,0.410443,60.33182,0.2296557,2.462842E+13,0.3216847
-0.25,0.3012552,0.4046059,45.90064,0.1227951,1.590919E+13,0.28318
0,0.443135,0.382241,56.03348,0.1541655,1.99475E+13,0.4165472
0.25,0.8593158,0.5525346,82.73518,0.2185866,4.143055E+13,0.8077566
0.5,1.086745,0.8657514,125.1779,0.2993834,4.685527E+13,1.02154
0.75,1.282324,1.422266,187.6952,0.3956394,5.644807E+13,1.205384
1,1.567608,2.104535,290.2528,0.4871438,7.496282E+13,1.473551
1.25,1.741334,2.825788,346.287,0.6705399,1.392536E+14,1.636854
1.5,2.106738,3.551466,502.0155,0.956714,2.510631E+14,1.980334
1.75,2.606884,4.752928,764.9246,1.620156,4.198849E+14,2.450471
2,3.21092,6.801576,1351.197,2.806405,5.020842E+14,3.018265
2.25,3.153645,8.900574,2171.268,4.639428,7.872497E+14,2.964427
2.5,2.882571,11.93274,2837.241,5.979621,9.074253E+14,2.709617
2.75,3.13633,13.73364,3193.554,5.710409,8.801444E+14,2.94815
3,3.318895,14.04411,3291.993,5.159067,1.01815E+15,3.119761
3.25,3.595469,15.21446,3566.325,5.588989,1.102995E+15,3.379741
3.5,3.872044,16.3848,3840.658,6.018911,1.187841E+15,3.639721
3.75,4.148619,17.55514,4114.991,6.448833,1.272687E+15,3.899702
4,4.425193,18.72548,4389.323,6.878756,1.357533E+15,4.159682
4.25,4.701768,19.89583,4663.656,7.308678,1.442378E+15,4.419662
4.5,4.978343,21.06617,4937.988,7.7386,1.527224E+15,4.679642
4.75,5.254917,22.23652,5212.321,8.168522,1.61207E+15,4.939622
5,5.531492,23.40686,5486.653,8.598444,1.696916E+15,5.199603
5.25,5.808066,24.5772,5760.986,9.028366,1.781761E+15,5.459583
5.5,6.084641,25.74755,6035.318,9.458288,1.866607E+15,5.719563
5.75,6.361216,26.91789,6309.651,9.88821,1.951453E+15,5.979543
6,6.63779,28.08823,6583.983,10.31813,2.036298E+15,6.239523
