cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.89288,Extrapolation: Pe: -1.5 - -0.75; 3 - 6,,,,,
idle,0.06681277,0.066597809,1.3702944,0.000524491,3.09037E+12,0.062803824
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.40601773,0.570684406,33.8021932,0.242671,5.11273E+13,0.38165659
-0.25,0.316853316,0.38958774,16.10596,0.109997,2.78005E+13,0.297842305
0,0.474945456,0.416646487,22.3661673,0.1271169,3.33006E+13,0.446448815
0.25,0.946503822,0.602256733,32.7093257,0.1838784,7.02562E+13,0.88971374
0.5,1.223847438,0.965487909,50.04607,0.2564726,8.22694E+13,1.150416673
0.75,1.44917414,1.59272732,73.390359,0.3409907,9.62575E+13,1.36222359
1,1.77640742,2.57975227,129.638737,0.4616461,1.54882E+14,1.66982267
1.25,2.03196952,3.45349576,159.705577,0.6649252,3.25269E+14,1.91005079
1.5,2.40047526,4.741291,282.074025,1.009068,5.23336E+14,2.2564471
1.75,3.04261012,6.08824665,392.731201,1.581509,7.89496E+14,2.86005397
2,3.60039031,8.86908437,802.9762,3.721959,1.17278E+15,3.38436712
2.25,3.08191662,12.43268659,1080.10277,4.641252,1.5426E+15,2.89700208
2.5,3.23276087,14.8914612,1356.43269,6.997631,1.50804E+15,3.03879504
2.75,3.58157399,14.9043136,1280.98782,4.145129,1.68631E+15,3.36667983
3,3.90717151,16.2592512,1397.44113,4.521959,1.83961E+15,3.67274221
3.25,4.23276903,17.6141888,1513.89444,4.898789,1.99291E+15,3.97880332
3.5,4.55836655,18.9691264,1630.34775,5.275619,2.14621E+15,4.2848657
3.75,4.88396407,20.324064,1746.80106,5.652449,2.29951E+15,4.59092681
4,5.20956159,21.6790143,1863.25484,6.029279,2.45281E+15,4.89698919
4.25,5.53516038,23.0339519,1979.70815,6.406109,2.60611E+15,5.2030503
4.5,5.8607579,24.3888895,2096.16146,6.782939,2.75941E+15,5.50911268
4.75,6.18635542,25.7438271,2212.61524,7.15977,2.91271E+15,5.81517379
5,6.51195294,27.0987647,2329.06855,7.5366,3.06601E+15,6.12123617
5.25,6.83755173,28.4537023,2445.52233,7.91343,3.21931E+15,6.42729728
5.5,7.16314925,29.8086399,2561.97564,8.290259,3.37261E+15,6.73335966
5.75,7.48874677,31.1635775,2678.42942,8.667089,3.52591E+15,7.03942077
6,7.81434556,32.5185151,2794.88273,9.04392,3.67922E+15,7.34548315
