cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.58344,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,4.83643,0.5820832,1.28339,0.3997922,1.087786E+15,4.304442
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,12.22878,4.140399,6.289803,4.985153,4.183419E+15,10.88361
-0.25,8.028426,2.684911,4.546641,3.477052,3.787593E+15,7.1453
0,18.89801,3.349212,6.592829,4.237494,4.335678E+15,16.81923
0.25,39.17199,4.19456,9.14502,5.210828,5.698908E+15,34.86308
0.5,60.47099,3.92583,8.724635,6.249735,6.386291E+15,53.81916
0.75,91.2599,3.724908,7.186978,7.730621,7.129478E+15,81.22128
1,128.8545,4.210118,8.993757,7.955597,7.390683E+15,114.6805
1.25,172.561,4.698113,11.60897,7.775105,7.842926E+15,153.5793
1.5,218.1818,4.733233,12.76755,9.198715,8.407229E+15,194.1818
1.75,255.7362,4.793729,14.71899,10.87289,8.836948E+15,227.6052
2,301.4517,4.831941,17.98418,12.24724,9.130971E+15,268.292
2.25,330.0681,5.259391,21.64024,13.26031,9.72488E+15,293.7606
2.5,355.3491,5.875096,22.36082,14.34297,1.004361E+16,316.2607
2.75,390.884,6.462606,24.5969,15.77726,1.104797E+16,347.8868
3,426.4189,7.050116,26.83298,17.21156,1.205233E+16,379.5128
3.25,461.9539,7.637625,29.06906,18.64585,1.305669E+16,411.1389
3.5,497.4888,8.225135,31.30515,20.08015,1.406105E+16,442.765
3.75,533.0237,8.812645,33.54123,21.51444,1.506541E+16,474.3911
4,568.5586,9.400155,35.77731,22.94874,1.606977E+16,506.0171
4.25,604.0935,9.987665,38.01339,24.38304,1.707414E+16,537.6432
4.5,639.6284,10.57518,40.24947,25.81733,1.80785E+16,569.2693
4.75,675.1633,11.16269,42.48555,27.25163,1.908286E+16,600.8954
5,710.6982,11.7502,44.72163,28.68592,2.008722E+16,632.5215
5.25,746.2332,12.33771,46.95771,30.12022,2.109158E+16,664.1476
5.5,781.7681,12.92522,49.19379,31.55451,2.209594E+16,695.7737
5.75,817.303,13.51273,51.42987,32.98881,2.31003E+16,727.3998
6,852.8379,14.10024,53.66595,34.42311,2.410466E+16,759.0259
