cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.33981,Extrapolation: Pe: -1.5 - -1.25; 3.25 - 6
idle,1.298158,0.0111008,0.2610216,0.01944663,1.300069E+11,0.9087189
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.5350699,0.008412655,0.1516859,0.01139528,7.146955E+10,0.374549
-0.75,0.8926367,0.01395903,0.4510517,0.02172132,1.56784E+11,0.6248457
-0.5,3.458049,0.03556282,0.9404178,0.0768071,5.258472E+11,2.420634
-0.25,6.06527,0.04556542,1.050917,0.1078988,8.438312E+11,4.245688
0,8.239978,0.04761997,1.018357,0.115174,9.992733E+11,5.767984
0.25,16.3718,0.06305454,1.29,0.1440605,1.713073E+12,11.46025
0.5,20.55307,0.06757743,1.443225,0.1315545,1.811907E+12,14.38715
0.75,29.91999,0.07609884,1.899855,0.1683298,1.847362E+12,20.94398
1,38.61328,0.0834917,1.732202,0.1772828,1.833162E+12,27.0293
1.25,47.62171,0.09584049,1.796553,0.2181894,1.955685E+12,33.33521
1.5,56.18217,0.105274,2.667474,0.2425983,2.455138E+12,39.32752
1.75,67.47993,0.1144202,2.294224,0.2830717,3.308883E+12,47.23595
2,77.33707,0.1094646,2.690814,0.2490049,3.715647E+12,54.13595
2.25,80.83829,0.1058756,2.857974,0.2036654,3.507715E+12,56.5868
2.5,84.30097,0.1151848,2.238376,0.267253,4.330417E+12,59.01068
2.75,100.5497,0.1329447,2.426314,0.3553278,6.301021E+12,70.3848
3,106.1662,0.1384466,2.524069,0.3941734,6.665105E+12,74.31632
3.25,115.0134,0.1499838,2.734408,0.4270212,7.220531E+12,80.50935
3.5,123.8605,0.1615211,2.944747,0.459869,7.775956E+12,86.70237
3.75,132.7077,0.1730583,3.155086,0.4927168,8.331381E+12,92.89539
4,141.5549,0.1845955,3.365425,0.5255646,8.886806E+12,99.08842
4.25,150.4021,0.1961327,3.575764,0.5584123,9.442232E+12,105.2814
4.5,159.2493,0.20767,3.786103,0.5912601,9.997657E+12,111.4745
4.75,168.0965,0.2192072,3.996442,0.6241078,1.055308E+13,117.6675
5,176.9436,0.2307444,4.206781,0.6569556,1.110851E+13,123.8605
5.25,185.7908,0.2422816,4.41712,0.6898034,1.166393E+13,130.0535
5.5,194.638,0.2538188,4.62746,0.7226511,1.221936E+13,136.2466
5.75,203.4852,0.2653561,4.837799,0.7554989,1.277478E+13,142.4396
6,212.3324,0.2768933,5.048138,0.7883466,1.333021E+13,148.6326
