cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.33981,Extrapolation: Pe: -1.5 - -1.25; 3.25 - 6
idle,0.6880261,0.0111008,0.2610216,0.01944663,1.300069E+11,0.4816178
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.2835871,0.008412655,0.1516859,0.01139528,7.146955E+10,0.198511
-0.75,0.4730975,0.01395903,0.4510517,0.02172132,1.56784E+11,0.3311682
-0.5,1.832766,0.03556282,0.9404178,0.0768071,5.258472E+11,1.282936
-0.25,3.214593,0.04556542,1.050917,0.1078988,8.438312E+11,2.250215
0,4.367186,0.04761997,1.018357,0.115174,9.992733E+11,3.057032
0.25,8.67705,0.06305454,1.29,0.1440605,1.713073E+12,6.073936
0.5,10.89313,0.06757743,1.443225,0.1315545,1.811907E+12,7.625194
0.75,15.85759,0.07609884,1.899855,0.1683298,1.847362E+12,11.10031
1,20.46504,0.0834917,1.732202,0.1772828,1.833162E+12,14.32553
1.25,25.23951,0.09584049,1.796553,0.2181894,1.955685E+12,17.66766
1.5,29.77655,0.105274,2.667474,0.2425983,2.455138E+12,20.84358
1.75,35.76437,0.1144202,2.294224,0.2830717,3.308883E+12,25.03506
2,40.98865,0.1094646,2.690814,0.2490049,3.715647E+12,28.69205
2.25,42.8443,0.1058756,2.857974,0.2036654,3.507715E+12,29.991
2.5,44.67952,0.1151848,2.238376,0.267253,4.330417E+12,31.27566
2.75,53.29135,0.1329447,2.426314,0.3553278,6.301021E+12,37.30394
3,56.26807,0.1384466,2.524069,0.3941734,6.665105E+12,39.38765
3.25,60.95708,0.1499838,2.734408,0.4270212,7.220531E+12,42.66995
3.5,65.64608,0.1615211,2.944747,0.459869,7.775956E+12,45.95226
3.75,70.33508,0.1730583,3.155086,0.4927168,8.331381E+12,49.23456
4,75.02409,0.1845955,3.365425,0.5255646,8.886806E+12,52.51686
4.25,79.71309,0.1961327,3.575764,0.5584123,9.442232E+12,55.79916
4.5,84.40209,0.20767,3.786103,0.5912601,9.997657E+12,59.08147
4.75,89.09109,0.2192072,3.996442,0.6241078,1.055308E+13,62.36377
5,93.7801,0.2307444,4.206781,0.6569556,1.110851E+13,65.64607
5.25,98.4691,0.2422816,4.41712,0.6898034,1.166393E+13,68.92838
5.5,103.1581,0.2538188,4.62746,0.7226511,1.221936E+13,72.21068
5.75,107.8471,0.2653561,4.837799,0.7554989,1.277478E+13,75.49298
6,112.5361,0.2768933,5.048138,0.7883466,1.333021E+13,78.77528
