cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.19129,Extrapolation: Pe: -1.5 - -0.75; 2.5 - 6
idle,0.4608575,0.399838,4.393574,0.003833193,2.382634E+12,0.4332084
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,6.366114,0.2310659,10.05655,0.3798235,4.895701E+13,5.984148
-0.25,1.712075,0.1939556,9.68801,0.08711951,1.800451E+13,1.60935
0,4.681495,0.4653715,16.21449,0.1358658,1.898475E+13,4.400607
0.25,6.838284,1.293367,40.31841,0.1747886,3.673207E+13,6.427989
0.5,12.99449,2.056095,56.79825,0.3015552,4.870926E+13,12.21481
0.75,18.74695,4.391759,138.2873,0.8975047,9.41868E+13,17.62213
1,26.02188,7.354543,276.5746,1.897552,1.824551E+14,24.46057
1.25,25.82671,13.83511,669.5959,3.340052,3.931342E+14,24.27711
1.5,36.33189,25.05001,1690.536,5.855864,6.470557E+14,34.15198
1.75,33.82894,40.41152,3348.877,12.89783,9.118333E+14,31.7992
2,24.45603,59.69916,5740.831,13.88421,1.218267E+15,22.98867
2.25,28.13108,53.53101,5982.864,22.16069,1.208782E+15,26.44322
2.5,31.25676,59.4789,6647.627,24.62299,1.343091E+15,29.38136
2.75,34.38243,65.42679,7312.39,27.08529,1.477401E+15,32.31949
3,37.50811,71.37468,7977.152,29.54759,1.61171E+15,35.25763
3.25,40.63379,77.32257,8641.915,32.00989,1.746019E+15,38.19577
3.5,43.75946,83.27046,9306.678,34.47219,1.880328E+15,41.1339
3.75,46.88514,89.21835,9971.44,36.93449,2.014637E+15,44.07204
4,50.01081,95.16624,10636.2,39.39679,2.148946E+15,47.01018
4.25,53.13649,101.1141,11300.97,41.85909,2.283255E+15,49.94831
4.5,56.26216,107.062,11965.73,44.32138,2.417565E+15,52.88645
4.75,59.38784,113.0099,12630.49,46.78368,2.551874E+15,55.82459
5,62.51351,118.9578,13295.25,49.24598,2.686183E+15,58.76273
5.25,65.63919,124.9057,13960.02,51.70828,2.820492E+15,61.70086
5.5,68.76487,130.8536,14624.78,54.17058,2.954802E+15,64.639
5.75,71.89055,136.8015,15289.54,56.63288,3.089111E+15,67.57713
6,75.01623,142.7494,15954.3,59.09518,3.22342E+15,70.51527
