cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.89288,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.05260848,0.05243922,2.91552,0.0005244911,3.090373E+12,0.04945183
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.319699,0.4493578,71.91956,0.242671,5.112732E+13,0.300517
-0.25,0.2494908,0.306762,34.268,0.109997,2.780053E+13,0.2345215
0,0.3739728,0.3280681,47.58759,0.1271169,3.330057E+13,0.3515345
0.25,0.7452786,0.4742179,69.59431,0.1838784,7.02562E+13,0.700562
0.5,0.9636594,0.7602267,106.481,0.2564726,8.226939E+13,0.9058399
0.75,1.141082,1.254116,156.1497,0.3409907,9.62575E+13,1.072617
1,1.398746,2.031301,275.8271,0.4616461,1.54882E+14,1.314821
1.25,1.599976,2.719288,339.7991,0.6649252,3.252693E+14,1.503977
1.5,1.890138,3.7333,600.1575,1.009068,5.233355E+14,1.77673
1.75,2.395756,4.793895,835.5983,1.581509,7.894955E+14,2.252011
2,2.834953,6.983531,1708.46,3.721959,1.172778E+15,2.664856
2.25,2.426706,9.789517,2298.091,4.641252,1.542604E+15,2.281104
2.5,2.545481,11.72556,2886.027,6.997631,1.50804E+15,2.392752
2.75,2.820137,11.73568,2725.506,4.145129,1.686307E+15,2.650929
3,3.076513,12.80256,2973.279,4.521959,1.839608E+15,2.891923
3.25,3.332889,13.86944,3221.052,4.898789,1.992909E+15,3.132916
3.5,3.589265,14.93632,3468.825,5.275619,2.146209E+15,3.37391
3.75,3.845641,16.0032,3716.598,5.652449,2.29951E+15,3.614903
4,4.102017,17.07009,3964.372,6.029279,2.45281E+15,3.855897
4.25,4.358394,18.13697,4212.145,6.406109,2.606111E+15,4.09689
4.5,4.61477,19.20385,4459.918,6.782939,2.759412E+15,4.337884
4.75,4.871146,20.27073,4707.692,7.15977,2.912712E+15,4.578877
5,5.127522,21.33761,4955.465,7.5366,3.066013E+15,4.819871
5.25,5.383899,22.40449,5203.239,7.91343,3.219313E+15,5.060864
5.5,5.640275,23.47137,5451.012,8.290259,3.372614E+15,5.301858
5.75,5.896651,24.53825,5698.786,8.667089,3.525914E+15,5.542851
6,6.153028,25.60513,5946.559,9.04392,3.679215E+15,5.783845
