cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.68047,Extrapolation: Pe: -1.5; 3.75 - 6,,,,,
idle,0.075727522,0.009719814,0.30229977,0.004734824,3.42873E+12,0.070416636
-1.5,0,0,0,0,0,0
-1.25,0.534734008,0.484743252,4.9367343,0.3524141,1.09292E+14,0.492663988
-1,0.369343432,0.206802736,1.28879405,0.06809354,3.94656E+13,0.344393139
-0.75,0.553809027,0.200442449,1.32979685,0.04773185,3.24391E+13,0.513979668
-0.5,0.799582221,0.201309478,1.92622826,0.0551044,3.49498E+13,0.740381806
-0.25,0.833155941,0.239695101,2.84722334,0.041558,3.77205E+13,0.795806892
0,0.945673369,0.228880797,2.88358348,0.03777878,3.47301E+13,0.911124797
0.25,1.68309417,0.287217358,3.97345708,0.05612148,5.10827E+13,1.62691572
0.5,2.04845412,0.41409874,5.6084912,0.08139586,7.13151E+13,1.97305803
0.75,1.80701823,0.774883388,11.2759345,0.1256081,1.16983E+14,1.72475525
1,1.64948489,1.026842371,19.0452554,0.1839434,1.68606E+14,1.55570174
1.25,1.60066228,1.66735633,39.2582493,0.2894399,2.22947E+14,1.47987639
1.5,2.03462763,2.41635407,61.520039,0.3852134,2.6555E+14,1.87494545
1.75,2.29361111,3.32383511,91.793209,0.5076329,3.3215E+14,2.13888447
2,3.39142705,4.8816514,146.322233,0.7497465,4.47878E+14,3.15477525
2.25,3.94601446,7.68054217,269.673498,1.026841,3.99412E+14,3.78354717
2.5,5.31706582,10.85393308,375.772614,0.9985721,4.25804E+14,5.14943471
2.75,8.66380284,8.83702703,491.56736,0.8612833,4.75523E+14,8.20159777
3,7.15353662,11.84408096,745.7302,0.8850805,5.29913E+14,6.67789495
3.25,6.80808773,14.9665944,1095.28189,0.984432,5.85762E+14,5.88139413
3.5,6.76057322,14.6014567,1158.29667,1.021585,5.97347E+14,5.99302205
3.75,7.2434704,15.6444188,1241.03218,1.094555,6.40014E+14,6.42109587
4,7.72636885,16.6873809,1323.76769,1.167526,6.82682E+14,6.84916842
4.25,8.2092673,17.730343,1406.5032,1.240496,7.2535E+14,7.27724097
4.5,8.69216448,18.7733051,1489.23871,1.313467,7.68017E+14,7.70531352
4.75,9.17506293,19.8162672,1571.97375,1.386437,8.10685E+14,8.13338734
5,9.65796138,20.8592293,1654.70926,1.459407,8.53352E+14,8.56145989
5.25,10.14085983,21.9021914,1737.44477,1.532378,8.9602E+14,8.98953244
5.5,10.62375701,22.9451535,1820.18028,1.605348,9.38688E+14,9.41760499
5.75,11.10665546,23.9881156,1902.91579,1.678319,9.81355E+14,9.84567754
6,11.58955264,25.0310777,1985.6513,1.751289,1.02402E+15,10.27375136
