cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.68047,Extrapolation: Pe: -1.5; 3.75 - 6,,,,,
idle,0.058722768,-0.003082378,0.255439125,0.003509038,8.18426E+11,0.054704272
-1.5,0,0,0,0,0,0
-1.25,0.550145585,0.370405787,4.21267721,0.2406435,4.71599E+13,0.507651766
-1,0.366218216,0.197464934,1.42161699,0.0639096,1.41406E+13,0.341982044
-0.75,0.570182375,0.193524251,1.41633231,0.04044852,1.1158E+13,0.529583269
-0.5,0.842595089,0.208796001,2.09323336,0.04600385,1.11395E+13,0.780499328
-0.25,0.809779813,0.26668222,3.07653728,0.04134642,1.026E+13,0.774096369
0,0.973393659,0.23930102,2.96521731,0.03999514,9.31397E+12,0.939343943
0.25,1.85068972,0.303700561,3.88276541,0.06344591,1.33396E+13,1.79193571
0.5,2.24663762,0.455875771,5.616829,0.09169251,1.84279E+13,2.16801573
0.75,1.86816873,0.893241292,11.4962517,0.138688,3.01905E+13,1.7871694
1,1.68263062,1.157425676,19.0913436,0.1981168,4.45176E+13,1.58977965
1.25,1.6290036,1.86926728,40.8930691,0.3001391,6.03302E+13,1.50619714
1.5,2.11217002,2.72242661,63.566325,0.4023329,7.07267E+13,1.94750182
1.75,2.45736999,3.71548025,95.120809,0.5135677,8.93503E+13,2.29451789
2,3.83177161,5.42393505,143.250219,0.7281682,1.26219E+14,3.56960678
2.25,4.47002916,8.79009672,237.063441,0.8967665,1.12157E+14,4.29240442
2.5,6.06967671,12.58955318,321.063298,0.9104912,1.19716E+14,5.89074133
2.75,9.98699425,9.84658178,387.791924,0.823773,1.31529E+14,9.46253632
3,8.16708298,12.9784856,591.91706,0.878911,1.43778E+14,7.62833882
3.25,8.00095936,15.3800302,848.17375,0.9460136,1.58303E+14,6.91746902
3.5,8.02255952,14.8523452,924.81712,0.9709325,1.63156E+14,7.1183881
3.75,8.59559876,15.913227,990.87562,1.040285,1.7481E+14,7.62684403
4,9.168638,16.9741088,1056.93412,1.109637,1.86464E+14,8.13529996
4.25,9.74167851,18.0349906,1122.99262,1.178989,1.98118E+14,8.64375716
4.5,10.31471775,19.0958851,1189.05112,1.248342,2.09772E+14,9.15221309
4.75,10.88775826,20.1567669,1255.10915,1.317694,2.21426E+14,9.66066902
5,11.46079877,21.2176487,1321.16765,1.387046,2.3308E+14,10.16912495
5.25,12.03383928,22.2785305,1387.22615,1.456398,2.44734E+14,10.67758088
5.5,12.60687979,23.3394123,1453.28465,1.525751,2.56388E+14,11.18603681
5.75,13.1799203,24.4002941,1519.34315,1.595103,2.68042E+14,11.69449274
6,13.752957,25.4611759,1585.40118,1.664455,2.79696E+14,12.20294994
