cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive(Engine)= 20.18524,Extrapolation: Pe: -1.5 - -1.25; 3.25 - 6
idle,5.666242,1.044244,3.918455,0.5635404,3.94E+14,5.042952
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.9015929,0.2718593,0.6947462,0.8446506,4.91E+14,0.8024176
-0.75,1.274817,0.5189768,1.339845,0.6492698,6.06E+14,1.134587
-0.5,3.998343,1.256483,3.532537,1.810169,1.48E+15,3.558525
-0.25,7.296033,1.625788,4.922306,2.488754,1.86E+15,6.493471
0,12.06217,1.777859,6.17644,2.723718,1.96E+15,10.73533
0.25,23.98958,2.110113,8.313137,3.415102,2.60E+15,21.35073
0.5,37.6025,2.183918,10.59394,4.281009,3.16E+15,33.46622
0.75,57.21732,2.122663,9.973315,6.227265,4.12E+15,50.92342
1,84.52229,2.06596,8.767978,8.744995,5.01E+15,75.22484
1.25,113.5885,2.131705,9.00958,9.69427,5.49E+15,101.0938
1.5,141.4584,2.150486,7.298223,10.40105,6.10E+15,125.898
1.75,180.0275,2.249784,7.411372,10.69746,6.41E+15,160.2245
2,228.9061,2.358667,7.963792,10.99909,6.73E+15,203.7264
2.25,240.3757,2.479796,10.77131,13.84769,6.65E+15,213.9343
2.5,263.9572,2.649765,11.44998,15.175,6.58E+15,234.9219
2.75,295.9472,2.607509,11.6419,16.18773,7.86E+15,263.393
3,341.0537,2.552334,13.37779,16.63472,9.17E+15,303.5378
3.25,369.4749,2.765028,14.4926,18.02095,9.93E+15,328.8326
3.5,397.896,2.977723,15.60742,19.40718,1.07E+16,354.1275
3.75,426.3172,3.190417,16.72223,20.7934,1.15E+16,379.4223
4,454.7383,3.403111,17.83705,22.17963,1.22E+16,404.7171
4.25,483.1595,3.615806,18.95186,23.56586,1.30E+16,430.012
4.5,511.5806,3.8285,20.06668,24.95208,1.38E+16,455.3068
4.75,540.0018,4.041195,21.18149,26.33831,1.45E+16,480.6016
5,568.4229,4.25389,22.29631,27.72454,1.53E+16,505.8965
5.25,596.8441,4.466584,23.41112,29.11076,1.60E+16,531.1913
5.5,625.2652,4.679279,24.52594,30.49699,1.68E+16,556.4861
5.75,653.6863,4.891973,25.64075,31.88322,1.76E+16,581.7809
6,682.1075,5.104668,26.75557,33.26944,1.83E+16,607.0757
