cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 24.3785498806523,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,0.296640743,0.056626772,0.140739877,0.048895779,2.46311E+11,0.090550642
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,2.538561422,0.320990164,2.04607704,0.165817893,2.88756E+12,1.636949555
-0.25,0.995904986,0.205326223,0.946436827,0.07634984,7.58477E+11,0.357555619
0,0.885465521,0.121423086,0.513969811,0.059023763,4.9841E+11,0.320337162
0.25,3.207138055,0.370219281,0.992389321,0.075446146,8.30504E+11,1.508509608
0.5,5.626381404,0.633028858,2.219885104,0.095356672,1.03377E+12,2.888201486
0.75,8.986597569,1.006089303,3.857138047,0.127604619,1.14137E+12,4.73332193
1,14.47107156,1.985879624,7.401501551,0.172089231,1.31601E+12,6.69631775
1.25,22.3282437,3.229335311,13.45641634,0.21225168,1.32626E+12,10.0796934
1.5,24.52935893,5.358397489,26.22536895,0.268200966,1.32322E+12,12.71510603
1.75,35.90278215,6.283439717,33.7370489,0.289770891,1.59419E+12,20.07445276
2,49.96877995,6.389155816,23.16506843,0.462266975,2.32467E+12,30.33220845
2.25,85.45595601,7.795309025,14.36984654,0.44739848,3.71947E+12,51.55035116
2.5,103.9276555,7.55183091,14.36984654,0.432529985,5.11428E+12,67.83400443
2.75,114.320421,7.308352796,14.36984654,0.475782983,5.62571E+12,74.61740487
3,124.7131866,7.972748505,14.36984654,0.519035982,6.13714E+12,81.40080531
3.25,135.1059521,8.637144213,14.36984654,0.56228898,6.64857E+12,88.18420576
3.5,145.4987177,9.301539922,14.36984654,0.605541979,7.15999E+12,94.9676062
3.75,155.8914832,9.965935631,14.36984654,0.648794977,7.67142E+12,101.7510066
4,166.2842488,10.63033134,14.36984654,0.692047976,8.18285E+12,108.5344071
4.25,176.6770143,11.29472705,14.36984654,0.735300974,8.69428E+12,115.3178075
4.5,187.0697799,11.95912276,14.36984654,0.778553973,9.20571E+12,122.101208
4.75,197.4625454,12.62351847,14.36984654,0.821806971,9.71713E+12,128.8846084
5,207.855311,13.28791417,14.36984654,0.86505997,1.02286E+13,135.6680089
5.25,218.2480765,13.95230988,14.36984654,0.908312968,1.074E+13,142.4514093
5.5,228.640842,14.61670559,14.36984654,0.951565967,1.12514E+13,149.2348097
5.75,239.0336076,15.2811013,14.36984654,0.994818965,1.17628E+13,156.0182102
6,249.4263731,15.94549701,14.36984654,1.038071964,1.22743E+13,162.8016106
