cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 24.529499310647,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,0.470273835,0.056626753,0.140740487,0.0488958,2.46312E+11,0.153170058
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,2.817552969,0.320990164,2.04607704,0.165817893,2.88756E+12,1.709897231
-0.25,1.826858615,0.205517217,0.946590075,0.076119583,7.57131E+11,0.589367757
0,1.443408171,0.120369012,0.511151954,0.059112161,4.98002E+11,0.525697995
0.25,4.841988714,0.369004164,1.007754914,0.075105596,8.23488E+11,2.238802494
0.5,8.481546237,0.643918345,2.257311811,0.095250074,1.03375E+12,4.210148643
0.75,13.12733779,1.017152153,3.843149158,0.129165595,1.14998E+12,6.750852107
1,19.44692698,2.020859075,7.482890103,0.175418169,1.31241E+12,9.445129123
1.25,27.97745974,3.345574133,14.05172855,0.207661713,1.31672E+12,13.29368967
1.5,33.23782038,5.383475889,26.66403961,0.268791286,1.3409E+12,17.64002619
1.75,45.68324535,6.421185436,34.57176518,0.284388977,1.59262E+12,25.27410032
2,63.47567403,6.377596736,22.58301841,0.470035722,2.37249E+12,37.54085894
2.25,97.99780097,7.879863092,14.95398894,0.445903123,3.69827E+12,57.87525634
2.5,123.434937,6.357809917,14.95398894,0.421770523,5.02405E+12,74.62649119
2.75,135.7784306,6.993590909,14.95398894,0.463947576,5.52646E+12,82.08914031
3,148.1219243,7.6293719,14.95398894,0.506124628,6.02886E+12,89.55178943
3.25,160.465418,8.265152892,14.95398894,0.54830168,6.53127E+12,97.01443855
3.5,172.8089117,8.900933884,14.95398894,0.590478733,7.03367E+12,104.4770877
3.75,185.1524054,9.536714875,14.95398894,0.632655785,7.53608E+12,111.9397368
4,197.4958991,10.17249587,14.95398894,0.674832837,8.03848E+12,119.4023859
4.25,209.8393928,10.80827686,14.95398894,0.71700989,8.54089E+12,126.865035
4.5,222.1828865,11.44405785,14.95398894,0.759186942,9.04329E+12,134.3276841
4.75,234.5263802,12.07983884,14.95398894,0.801363994,9.5457E+12,141.7903333
5,246.8698739,12.71561983,14.95398894,0.843541047,1.00481E+13,149.2529824
5.25,259.2133676,13.35140083,14.95398894,0.885718099,1.05505E+13,156.7156315
5.5,271.5568613,13.98718182,14.95398894,0.927895151,1.10529E+13,164.1782806
5.75,283.900355,14.62296281,14.95398894,0.970072204,1.15553E+13,171.6409297
6,296.2438487,15.2587438,14.95398894,1.012249256,1.20577E+13,179.1035789
