cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.93013,Extrapolation: Pe: -1.5; 3.5 - 6
idle,0.08209325,0.03041093,0.7792122,0.007015953,3.83793E+12,0.07614622
-1.5,0,0,0,0,0,0
-1.25,0.4720171,0.6292219,20.68006,0.7766582,1.708189E+14,0.4266585
-1,0.2971291,0.2004617,2.834009,0.1016721,4.37866E+13,0.2767738
-0.75,0.3925312,0.1673132,2.47149,0.05658025,2.959493E+13,0.3635166
-0.5,0.5708045,0.1523833,3.573652,0.06993273,3.018484E+13,0.5264958
-0.25,0.6766451,0.1600001,5.37685,0.04368257,2.782754E+13,0.6452376
0,0.7154219,0.1685501,5.85037,0.03552864,2.493144E+13,0.6878184
0.25,1.174993,0.2090762,8.874187,0.04910387,3.685379E+13,1.132289
0.5,1.447337,0.3069486,12.47043,0.0735615,5.219365E+13,1.38967
0.75,1.3883,0.5047014,24.42447,0.1159066,8.462426E+13,1.316443
1,1.291595,0.7226495,43.89168,0.175892,1.239002E+14,1.212552
1.25,1.2965,1.221216,87.78672,0.2802328,1.65678E+14,1.191497
1.5,1.639281,1.799461,146.7025,0.4214473,2.055292E+14,1.508716
1.75,1.945431,2.655163,236.8426,0.6011819,2.693769E+14,1.816529
2,2.778176,4.178062,392.7377,0.8874284,3.412998E+14,2.638962
2.25,3.187347,5.952847,750.4688,1.007374,3.35731E+14,3.066195
2.5,5.356229,5.784253,956.1017,0.888395,3.32122E+14,5.060298
2.75,5.004148,7.648452,1753.514,0.9352611,3.80648E+14,4.712137
3,4.160424,10.13102,2662.344,1.119304,4.264428E+14,3.697896
3.25,4.224742,11.66365,2980.812,1.107669,4.358743E+14,3.773889
3.5,4.549723,12.56086,3210.105,1.192874,4.694031E+14,4.064188
3.75,4.874703,13.45806,3439.398,1.27808,5.029319E+14,4.354487
4,5.199683,14.35526,3668.692,1.363285,5.364607E+14,4.644786
4.25,5.524663,15.25247,3897.985,1.44849,5.699895E+14,4.935085
4.5,5.849644,16.14967,4127.278,1.533695,6.035183E+14,5.225384
4.75,6.174624,17.04688,4356.572,1.618901,6.370471E+14,5.515683
5,6.499604,17.94408,4585.865,1.704106,6.705759E+14,5.805982
5.25,6.824584,18.84128,4815.159,1.789311,7.041047E+14,6.096281
5.5,7.149565,19.73849,5044.452,1.874517,7.376335E+14,6.38658
5.75,7.474545,20.63569,5273.746,1.959722,7.711623E+14,6.676878
6,7.799525,21.53289,5503.039,2.044927,8.04691E+14,6.967177
