cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.68047,Extrapolation: Pe: -1.5; 3.75 - 6
idle,0.0462384,-0.002427069,0.5434875,0.003509038,8.18426E+11,0.04307423
-1.5,0,0,0,0,0,0
-1.25,0.4331855,0.2916581,8.963143,0.2406435,4.715988E+13,0.3997258
-1,0.2883608,0.1554842,3.024717,0.0639096,1.414057E+13,0.2692772
-0.75,0.4489625,0.1523813,3.013473,0.04044852,1.115803E+13,0.4169947
-0.5,0.6634607,0.1644063,4.453688,0.04600385,1.113947E+13,0.6145664
-0.25,0.6376219,0.209986,6.545824,0.04134642,1.026002E+13,0.6095247
0,0.7664517,0.188426,6.308973,0.03999514,9.313974E+12,0.7396409
0.25,1.457236,0.2391343,8.261203,0.06344591,1.33396E+13,1.410973
0.5,1.769006,0.3589573,11.9507,0.09169251,1.842787E+13,1.707099
0.75,1.470999,0.7033396,24.46011,0.138688,3.019048E+13,1.40722
1,1.324906,0.9113588,40.61988,0.1981168,4.451762E+13,1.251795
1.25,1.28268,1.471864,87.00653,0.3001391,6.033023E+13,1.185982
1.5,1.663126,2.143643,135.2475,0.4023329,7.072669E+13,1.533466
1.75,1.934937,2.925575,202.3847,0.5135677,8.935032E+13,1.806707
2,3.017143,4.270815,304.7877,0.7281682,1.262187E+14,2.810714
2.25,3.519708,6.921336,504.3903,0.8967665,1.121566E+14,3.379846
2.5,4.779273,9.913034,683.1134,0.9104912,1.197157E+14,4.638379
2.75,7.863775,7.753214,825.0892,0.823773,1.315292E+14,7.450816
3,6.430774,10.21928,1259.398,0.878911,1.437783E+14,6.006566
3.25,6.299968,12.11026,1804.625,0.9460136,1.583032E+14,5.446826
3.5,6.316976,11.69476,1967.696,0.9709325,1.631561E+14,5.60503
3.75,6.768188,12.5301,2108.246,1.040285,1.748102E+14,6.005389
4,7.2194,13.36544,2248.796,1.109637,1.864642E+14,6.405748
4.25,7.670613,14.20078,2389.346,1.178989,1.981182E+14,6.806108
4.5,8.121825,15.03613,2529.896,1.248342,2.097722E+14,7.206467
4.75,8.573038,15.87147,2670.445,1.317694,2.214262E+14,7.606826
5,9.024251,16.70681,2810.995,1.387046,2.330802E+14,8.007185
5.25,9.475464,17.54215,2951.545,1.456398,2.447342E+14,8.407544
5.5,9.926677,18.37749,3092.095,1.525751,2.563882E+14,8.807903
5.75,10.37789,19.21283,3232.645,1.595103,2.680422E+14,9.208262
6,10.8291,20.04817,3373.194,1.664455,2.796962E+14,9.608622
