cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.68047,Extrapolation: Pe: -1.5; 3.75 - 6
idle,0.05962797,0.007653397,0.643191,0.004734824,3.428726E+12,0.05544617
-1.5,0,0,0,0,0,0
-1.25,0.4210504,0.3816876,10.50369,0.3524141,1.092924E+14,0.3879244
-1,0.2908216,0.1628368,2.742115,0.06809354,3.946557E+13,0.2711757
-0.75,0.4360701,0.1578287,2.829355,0.04773185,3.243911E+13,0.4047084
-0.5,0.6295923,0.1585114,4.098358,0.0551044,3.494975E+13,0.5829778
-0.25,0.6560283,0.1887363,6.057922,0.041558,3.772045E+13,0.6266196
0,0.7446247,0.1802211,6.135284,0.03777878,3.473012E+13,0.7174211
0.25,1.325271,0.2261554,8.454164,0.05612148,5.108273E+13,1.281036
0.5,1.612956,0.326062,11.93296,0.08139586,7.131505E+13,1.553589
0.75,1.422849,0.6101444,23.99135,0.1256081,1.169828E+14,1.358075
1,1.298807,0.8085373,40.52182,0.1839434,1.686064E+14,1.224962
1.25,1.260364,1.312879,83.52819,0.2894399,2.229473E+14,1.165257
1.5,1.602069,1.902641,130.8937,0.3852134,2.655495E+14,1.476335
1.75,1.805993,2.617193,195.3047,0.5076329,3.321498E+14,1.684161
2,2.670415,3.84382,311.3239,0.7497465,4.478775E+14,2.484075
2.25,3.107098,6.047671,573.7734,1.026841,3.994118E+14,2.979171
2.5,4.186666,8.546404,799.5162,0.9985721,4.258036E+14,4.054673
2.75,6.821892,6.958289,1045.888,0.8612833,4.75523E+14,6.457951
3,5.632706,9.326048,1586.66,0.8850805,5.299127E+14,5.258185
3.25,5.360699,11.78472,2330.387,0.984432,5.857615E+14,4.631019
3.5,5.323286,11.49721,2464.461,1.021585,5.973467E+14,4.718915
3.75,5.70352,12.31844,2640.494,1.094555,6.400143E+14,5.055981
4,6.083755,13.13967,2816.527,1.167526,6.826819E+14,5.393046
4.25,6.46399,13.9609,2992.56,1.240496,7.253495E+14,5.730111
4.5,6.844224,14.78213,3168.593,1.313467,7.680171E+14,6.067176
4.75,7.224459,15.60336,3344.625,1.386437,8.106847E+14,6.404242
5,7.604694,16.42459,3520.658,1.459407,8.533524E+14,6.741307
5.25,7.984929,17.24582,3696.691,1.532378,8.9602E+14,7.078372
5.5,8.365163,18.06705,3872.724,1.605348,9.386876E+14,7.415437
5.75,8.745398,18.88828,4048.757,1.678319,9.813552E+14,7.752502
6,9.125632,19.70951,4224.79,1.751289,1.024023E+15,8.089568
