group,PHEMlight,A_urban,B_urban,A_road,B_road,M
PC,LCV_III_G_EU1,1.15e-5,1.8351216,9.61e-6,1.6967642239999998,112358.4
PC,LCV_III_G_EU2,1.15e-5,1.8351216,9.61e-6,1.6967642239999998,112358.4
PC,LCV_III_G_EU3,2.67e-6,1.3578992619999999,0,1,150898.6
PC,LCV_III_G_EU4,2.67e-6,1.307825281,0,1,132144.3
PC,LCV_II_G_EU1,1.15e-5,1.8351216,9.61e-6,1.6967642239999998,112358.4
PC,LCV_II_G_EU2,1.15e-5,1.8351216,9.61e-6,1.6967642239999998,112358.4
PC,LCV_II_G_EU3,2.67e-6,1.3578992619999999,0,1,150898.6
PC,LCV_II_G_EU4,2.67e-6,1.307825281,0,1,132144.3
PC,PC_G_EU1,0,1.92,0,1.77,156930.2
PC,LCV_I_G_EU1,0,2.39,0,2.54,124084.5
PC,LCV_I_G_EU2,0,2.39,0,2.54,128796
PC,PC_G_EU2,0,1.92,0,1.77,165057.7
PC,LCV_I_G_EU3,7.13e-6,1.597322046,1.5e-6,1.1292613,116174.2
PC,PC_G_EU3,2.67e-6,1.356851287,0,1,150506.1
PC,LCV_I_G_EU4,7.13e-6,1.364678702,1.5e-6,1.0803181,83545.4
PC,PC_G_EU4,2.67e-6,1.24957576,0,1,110328
