group,PHEMlight,A_urban,B_urban,A_road,B_road,M
PC,LCV_III_D_EU1,0,1,0,1,154132.7
PC,LCV_III_D_EU2,0,1.21,0,1.21,154132.7
PC,LCV_III_D_EU3,0,1.05,0,1.05,221726.5141
PC,LCV_III_D_EU4,0,1,0,1,162140.427
PC,LCV_III_G_EU1,1.6e-5,2.0797343999999995,1.22e-5,1.7907724799999998,112358.4
PC,LCV_III_G_EU2,1.6e-5,2.0797343999999995,1.22e-5,1.7907724799999998,112358.4
PC,LCV_III_G_EU3,3.99e-6,1.534085463077,0,1,150898.6123
PC,LCV_III_G_EU4,3.99e-6,1.4592559565,0,1,132144.35
PC,LCV_II_D_EU1,0,1,0,1,154132.7
PC,LCV_II_D_EU2,0,1.21,0,1.21,154132.7
PC,LCV_II_D_EU3,0,1.05,0,1.05,221726.5141
PC,LCV_II_D_EU4,0,1,0,1,162140.427
PC,LCV_II_G_EU1,1.6e-5,2.0797343999999995,1.22e-5,1.7907724799999998,112358.4
PC,LCV_II_G_EU2,1.6e-5,2.0797343999999995,1.22e-5,1.7907724799999998,112358.4
PC,LCV_II_G_EU3,3.99e-6,1.534085463077,0,1,150898.6123
PC,LCV_II_G_EU4,3.99e-6,1.4592559565,0,1,132144.35
PC,LCV_I_D_EU1,0,1,0,1,188075.7494
PC,PC_D_EU1,0,1,0,1,190636.4304
PC,LCV_I_D_EU2,0,1.22,0,1.22,172042.0853
PC,PC_D_EU2,0,1.22,0,1.22,199163.636
PC,LCV_I_D_EU3,0,1.1,0,1.1,155999.1564
PC,PC_D_EU3,0,1.1,0,1.1,183176.827
PC,LCV_I_D_EU4,0,1,0,1,80348.51497
PC,PC_D_EU4,0,1,0,1,129571.7169
PC,PC_G_EU1,0,2.2,0,1.89,156930.2461
PC,LCV_I_G_EU1,0,2.2,0,1.89,124084.5
PC,LCV_I_G_EU2,0,2.2,0,1.89,128796
PC,PC_G_EU2,0,2.2,0,1.89,165057.661
PC,LCV_I_G_EU3,0,1,0,1,116174.2
PC,PC_G_EU3,3.99e-6,1.5325193098730001,0,1,150506.0927
PC,LCV_I_G_EU4,0,1,0,1,83545.4
PC,PC_G_EU4,3.99e-6,1.372208638205,0,1,110327.9795
