group,PHEMlight,A_urban,B_urban,A_road,B_road,M
PC,LCV_III_G_EU1,1.23e-5,1.89100832,9.8200000000000008e-06,1.713359488,112358.4
PC,LCV_III_G_EU2,1.23e-5,1.89100832,9.8200000000000008e-06,1.713359488,112358.4
PC,LCV_III_G_EU3,0,1,0,1,150898.6
PC,LCV_III_G_EU4,0,1,0,1,132144.3
PC,LCV_II_G_EU1,1.23e-5,1.89100832,9.8200000000000008e-06,1.713359488,112358.4
PC,LCV_II_G_EU2,1.23e-5,1.89100832,9.8200000000000008e-06,1.713359488,112358.4
PC,LCV_II_G_EU3,0,1,0,1,150898.6
PC,LCV_II_G_EU4,0,1,0,1,132144.3
PC,PC_G_EU1,0,1.99,0,1.79,156930.2
PC,LCV_I_G_EU1,0,2.1,0,1.6,124084.5
PC,LCV_I_G_EU2,0,2.1,0,1.6,128796
PC,PC_G_EU2,0,1.99,0,1.79,165057.7
PC,LCV_I_G_EU3,3.42e-6,1.288315764,0,1,116174.2
PC,PC_G_EU3,0,1,0,1,150506.1
PC,LCV_I_G_EU4,3.42e-6,1.176725268,0,1,83545.4
PC,PC_G_EU4,0,1,0,1,110328
